-1.4492,-1.4022,2.335
-0.068372,-0.13617,-0.55355
-1.8005,4.5377,-4.9408
2.9264,2.3655,-3.9213
2.9889,2.3451,-3.8934
0.038252,0.50044,0.11821
-1.3285,3.4328,-3.7474
-0.16449,0.26835,0.31513
-1.5578,-1.4672,2.4418
0.013868,0.35205,0.10683
-0.12879,-0.16515,-0.49623
-1.4914,3.7851,-4.1248
0.33426,-1.6352,1.8219
1.0043,0.72618,-1.17
0.021381,-1.2039,0.11661
-0.067133,-0.33952,-0.25715
0.62127,-2.0932,2.3081
-0.0080557,0.48542,0.076842
-1.5746,-1.6595,2.7417
1.0235,0.95367,-1.5896
0.81874,0.70602,-1.1574
2.8589,2.313,-3.835
0.008146,0.48752,0.13374
-0.14083,-0.30402,-0.30426
-0.2916,-1.1926,0.68547
