time, 0.00          ,   1.000000E+00,   2.000000E+00,   3.000000E+00,   4.000000E+00,   5.000000E+00,   6.000000E+00,   7.000000E+00,   8.000000E+00,   9.000000E+00,   1.000000E+01,   1.100000E+01,   1.200000E+01,   1.300000E+01,   1.400000E+01,   1.500000E+01,   1.600000E+01,   1.700000E+01,   1.800000E+01,   1.900000E+01,   2.000000E+01,   2.100000E+01,   2.200000E+01,   2.300000E+01,   2.400000E+01,   2.500000E+01,   2.600000E+01,   2.700000E+01,   2.800000E+01,   2.900000E+01,   3.000000E+01
u[1], 0.00          , 0.00          , 0.00          , 0.00          , 0.00          , 0.00          , 0.00          , 0.00          , 0.00          , 0.00          , 0.00          , 0.00          , 0.00          , 0.00          , 0.00          , 0.00          , 0.00          , 0.00          , 0.00          , 0.00          , 0.00          , 0.00          , 0.00          , 0.00          , 0.00          , 0.00          , 0.00          , 0.00          , 0.00          , 0.00          , 0.00          
u[2], 0.00          ,   1.000000E+00,   1.000000E+00,   1.000000E+00,   1.000000E+00,   1.000000E+00,   1.000000E+00,   1.000000E+00,   1.000000E+00,   1.000000E+00,   1.000000E+00,   1.000000E+00,   1.000000E+00,   1.000000E+00,   1.000000E+00,   1.000000E+00,   1.000000E+00,   1.000000E+00,   1.000000E+00,   1.000000E+00,   1.000000E+00,   1.000000E+00,   1.000000E+00,   1.000000E+00,   1.000000E+00,   1.000000E+00,   1.000000E+00,   1.000000E+00,   1.000000E+00,   1.000000E+00,   1.000000E+00
x[1], 0.00          , 0.00          , 0.00          , 0.00          , 0.00          , 0.00          , 0.00          , 0.00          , 0.00          , 0.00          , 0.00          , 0.00          , 0.00          , 0.00          , 0.00          , 0.00          , 0.00          , 0.00          , 0.00          , 0.00          , 0.00          , 0.00          , 0.00          , 0.00          , 0.00          , 0.00          , 0.00          , 0.00          , 0.00          , 0.00          , 0.00          
x[2], 0.00          , 0.00          , 0.00          , 0.00          , 0.00          , 0.00          , 0.00          , 0.00          , 0.00          , 0.00          , 0.00          , 0.00          , 0.00          , 0.00          , 0.00          , 0.00          , 0.00          , 0.00          , 0.00          , 0.00          , 0.00          , 0.00          , 0.00          , 0.00          , 0.00          , 0.00          , 0.00          , 0.00          , 0.00          , 0.00          , 0.00          
x[3], 0.00          , 0.00          , 0.00          , 0.00          , 0.00          , 0.00          , 0.00          , 0.00          , 0.00          , 0.00          , 0.00          , 0.00          , 0.00          , 0.00          , 0.00          , 0.00          , 0.00          , 0.00          , 0.00          , 0.00          , 0.00          , 0.00          , 0.00          , 0.00          , 0.00          , 0.00          , 0.00          , 0.00          , 0.00          , 0.00          , 0.00          
x[4], 0.00          , 0.00          , 0.00          , 0.00          , 0.00          , 0.00          , 0.00          , 0.00          , 0.00          , 0.00          , 0.00          , 0.00          , 0.00          , 0.00          , 0.00          , 0.00          , 0.00          , 0.00          , 0.00          , 0.00          , 0.00          , 0.00          , 0.00          , 0.00          , 0.00          , 0.00          , 0.00          , 0.00          , 0.00          , 0.00          , 0.00          
x[5], 0.00          , 0.00          ,   2.500000E-01,   5.963327E-01,   9.580265E-01,   1.295496E+00,   1.592151E+00,   1.843706E+00,   2.052064E+00,   2.221882E+00,   2.358714E+00,   2.468056E+00,   2.554896E+00,   2.623549E+00,   2.677635E+00,   2.720132E+00,   2.753457E+00,   2.779549E+00,   2.799953E+00,   2.815895E+00,   2.828341E+00,   2.838052E+00,   2.845627E+00,   2.851533E+00,   2.856137E+00,   2.859725E+00,   2.862521E+00,   2.864699E+00,   2.866396E+00,   2.867718E+00,   2.868748E+00
x[6], 0.00          , 0.00          , 0.00          ,   2.500000E-01,   5.963327E-01,   9.580265E-01,   1.295496E+00,   1.592151E+00,   1.843706E+00,   2.052064E+00,   2.221882E+00,   2.358714E+00,   2.468056E+00,   2.554896E+00,   2.623549E+00,   2.677635E+00,   2.720132E+00,   2.753457E+00,   2.779549E+00,   2.799953E+00,   2.815895E+00,   2.828341E+00,   2.838052E+00,   2.845627E+00,   2.851533E+00,   2.856137E+00,   2.859725E+00,   2.862521E+00,   2.864699E+00,   2.866396E+00,   2.867718E+00
x[7], 0.00          , 0.00          ,   1.000000E+00,   2.710169E+00,   4.559451E+00,   6.178969E+00,   7.435992E+00,   8.339914E+00,   8.957577E+00,   9.365037E+00,   9.627272E+00,   9.793113E+00,   9.896699E+00,   9.960829E+00,   1.000029E+01,   1.002446E+01,   1.003921E+01,   1.004821E+01,   1.005368E+01,   1.005701E+01,   1.005903E+01,   1.006025E+01,   1.006100E+01,   1.006145E+01,   1.006172E+01,   1.006189E+01,   1.006199E+01,   1.006205E+01,   1.006209E+01,   1.006211E+01,   1.006213E+01
