-2.4049,12.439,17.878,-8.0471
4.5411,39.494,10.874,-3.9382
-7.9059,-33.728,0.017903,-25.261
5.4321,2.6922,2.0016,-0.75059
4.7433,2.406,2.0752,0.28954
-1.2568,12.696,0.10317,17.95
-2.788,-2.5287,-23.201,-21.681
6.4196,6.5261,1.6501,-5.1003
-0.0098778,3.0271,4.116,0.38587
4.7052,-42.472,-31.856,2.8931
-1.2186,11.791,-53.479,-2.1455
3.9258,-6.3929,10.568,-6.7176
8.5098,-18.225,-74.656,-22.57
-0.88155,4.4913,16.759,-1.1393
0.87775,16.876,7.7983,7.504
-2.2121,-16.811,20.328,8.5124
1.9432,6.0972,3.9712,-19.318
1.4601,-1.5542,6.5453,-1.4614
0.86052,-1.1404,14.322,-1.0647
2.5569,8.049,-97.574,11.183
7.0472,17.459,2.4349,17.548
0.16656,12.453,5.2419,8.0237
1.6734,-2.1543,13.523,-2.1918
2.2161,5.9841,135.61,5.2002
4.8225,-7.2521,13.457,-9.7439
